timestamp,session_time,Fp1,Fp2,C3,C4,P7,P8,O1,O2,EMG,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz
1749632459.175091,2.696,-3466.5530850354535,-3461.652386832522,-3461.5284955833554,-320.09452336663287,-3496.003733471481,-3461.175305610932,-3475.0835970143794,-3468.165169959089,2157,16364.0,14760.0,14444.0,-6684.0,9624.0,-17228.0,-4200.0,-1004.0,-2064.0,-472.0,1158.0,1815.0,1102.0,3589.0,453.0,198.0,-141.0,-236.0
1749632459.225064,2.746,-3467.786502350748,-3484.177614352419,-3457.008962796207,-326.2940814398624,-3485.6023637178378,-3469.576431164316,-3473.8336941699617,-3478.649966481324,2144,16492.0,14856.0,14484.0,-6716.0,9416.0,-17380.0,-4180.0,-860.0,-2072.0,-471.0,1150.0,1815.0,1111.0,3580.0,485.0,214.0,-128.0,-244.0
1749632459.275106,2.796,-3464.1222188320417,-3471.886903048981,-3458.6005656988104,-315.39514844359735,-3497.414994676709,-3460.7042191272044,-3475.114070265182,-3465.289194469356,2145,16296.0,14656.0,14380.0,-6660.0,9472.0,-17168.0,-4160.0,-780.0,-2060.0,-467.0,1153.0,1797.0,1096.0,3618.0,482.0,196.0,-138.0,-269.0
1749632459.325067,2.846,-3467.891410263349,-3477.5254535705394,-3457.034939993613,-327.0009609461976,-3485.407035175804,-3469.106843365055,-3473.969075333366,-3478.5210796172714,2157,16388.0,14844.0,14400.0,-6580.0,9464.0,-17264.0,-4104.0,-980.0,-2244.0,-447.0,1177.0,1820.0,1088.0,3672.0,476.0,192.0,-138.0,-236.0
1749632459.375107,2.896,-3465.5709471489126,-3459.0256925255885,-3460.690730967013,-318.93004553676195,-3496.455337057154,-3460.3550256466897,-3474.3247631132317,-3467.156055752165,2148,16372.0,14940.0,14464.0,-6728.0,9336.0,-17304.0,-4068.0,-752.0,-1980.0,-500.0,1176.0,1810.0,1104.0,3567.0,445.0,205.0,-137.0,-235.0
1749632459.425091,2.946,-3467.8844164025086,-3483.7280090127,-3457.0818987735393,-326.4199709349836,-3484.8710056985624,-3468.957974041459,-3473.3551142639058,-3478.005532161061,2157,16416.0,14792.0,14456.0,-6748.0,9412.0,-17272.0,-4040.0,-872.0,-2044.0,-498.0,1201.0,1800.0,1062.0,3611.0,464.0,180.0,-135.0,-236.0
1749632459.475073,2.996,-3464.7806408739852,-3475.6945607149078,-3460.303071251878,-317.55125582829186,-3495.9642681138835,-3459.389373289272,-3473.9900569158863,-3465.6513765485734,2152,16412.0,14876.0,14536.0,-6664.0,9448.0,-17208.0,-4188.0,-700.0,-2024.0,-475.0,1188.0,1805.0,1084.0,3590.0,475.0,206.0,-137.0,-238.0
1749632459.525131,3.046,-3464.448932045571,-3464.703208843256,-3455.540252019793,-320.62405854452356,-3489.099294137871,-3466.8558192975306,-3473.84118759229,-3476.9769350560828,2153,16376.0,14896.0,14528.0,-6668.0,9340.0,-17212.0,-4200.0,-780.0,-1976.0,-458.0,1167.0,1823.0,1088.0,3554.0,470.0,197.0,-158.0,-249.0
1749632459.576114,3.097,-3464.8470825519657,-3457.806762493463,-3460.1856743020626,-317.7830523589912,-3496.814022205952,-3459.6076816597797,-3473.982563493557,-3466.141945930355,2152,16348.0,14860.0,14436.0,-6688.0,9396.0,-17320.0,-4128.0,-896.0,-2036.0,-468.0,1187.0,1806.0,1089.0,3620.0,464.0,227.0,-172.0,-245.0
1749632459.62591,3.146,-3464.3340329031985,-3476.887513549628,-3455.174073448667,-320.37827429214406,-3488.286507595957,-3466.766397791075,-3473.6098906230795,-3476.4498976856344,2149,16400.0,14916.0,14592.0,-6700.0,9472.0,-17296.0,-4136.0,-804.0,-2008.0,-464.0,1179.0,1800.0,1062.0,3578.0,480.0,214.0,-131.0,-242.0
1749632459.675182,3.196,-3464.2735859630807,-3473.537953768725,-3459.8005123943703,-316.0975318965354,-3496.0951532238905,-3458.8983043460016,-3473.668339317243,-3464.5928057542806,2152,16408.0,14844.0,14480.0,-6700.0,9428.0,-17272.0,-4180.0,-764.0,-1996.0,-504.0,1164.0,1804.0,1078.0,3603.0,450.0,226.0,-140.0,-253.0
1749632459.725159,3.246,-3467.8819185950656,-3475.4128080353507,-3457.2012939693086,-326.6737481711803,-3484.675677156529,-3468.4159498263534,-3472.5368325456184,-3478.0604839248044,2150,16372.0,14824.0,14460.0,-6628.0,9456.0,-17320.0,-4144.0,-704.0,-1980.0,-451.0,1158.0,1816.0,1074.0,3653.0,471.0,215.0,-153.0,-250.0
1749632459.775098,3.296,-3464.1791688417393,-3456.177192917728,-3459.6846141290202,-316.4332372168585,-3496.9768792512273,-3459.0486723540635,-3473.466516475858,-3465.3406493026796,2143,16424.0,14804.0,14388.0,-6744.0,9380.0,-17260.0,-4264.0,-824.0,-2040.0,-478.0,1195.0,1801.0,1089.0,3643.0,466.0,228.0,-134.0,-254.0
1749632459.8250759,3.346,-3464.293068861135,-3477.390072407135,-3454.766431273989,-321.00772176775,-3486.808804712749,-3466.757405684281,-3473.5604340357104,-3476.545313929953,2152,16388.0,14916.0,14448.0,-6724.0,9472.0,-17216.0,-4064.0,-872.0,-2068.0,-484.0,1176.0,1818.0,1066.0,3601.0,474.0,224.0,-140.0,-244.0
1749632459.875079,3.396,-3463.5866889162885,-3471.398831474642,-3459.2020377310555,-315.55350943547603,-3496.171086570154,-3458.5076472619353,-3473.116823433855,-3463.975347754401,2144,16424.0,14916.0,14472.0,-6632.0,9452.0,-17248.0,-4224.0,-812.0,-1996.0,-442.0,1211.0,1811.0,1079.0,3581.0,462.0,205.0,-142.0,-226.0
1749632459.925065,3.446,-3464.322043427472,-3467.4532948378674,-3454.4921720167604,-321.94739692776164,-3486.792818745115,-3467.0531460855177,-3472.918997084379,-3476.957951719517,2155,16424.0,14836.0,14532.0,-6640.0,9512.0,-17304.0,-4060.0,-848.0,-2008.0,-473.0,1165.0,1837.0,1080.0,3580.0,477.0,212.0,-132.0,-244.0
1749632459.975056,3.496,-3463.4243314325013,-3455.7185954712145,-3458.8768232019934,-315.5894778626535,-3496.7665638645367,-3458.486166117926,-3473.17477256653,-3464.986959768767,2160,16344.0,14884.0,14536.0,-6648.0,9416.0,-17224.0,-3948.0,-860.0,-2048.0,-476.0,1199.0,1842.0,1067.0,3642.0,481.0,203.0,-154.0,-234.0
1749632460.025057,3.546,-3464.2061451621225,-3478.6764432402183,-3454.3582895378217,-321.34342708807316,-3485.7662198860908,-3466.951735103337,-3472.4229325262227,-3476.376961708303,2153,16480.0,14836.0,14396.0,-6776.0,9440.0,-17240.0,-4112.0,-820.0,-2104.0,-462.0,1188.0,1832.0,1124.0,3583.0,481.0,191.0,-151.0,-255.0
1749632460.18078,3.701,-3465.111850140911,-3470.201382586525,-3456.278603899909,-323.97411788691494,-3482.531059686072,-3464.5208688999255,-3475.2819229253437,-3474.7823614367676,2158,16300.0,14892.0,14440.0,-6596.0,9464.0,-17268.0,-3832.0,-944.0,-1868.0,-479.0,1176.0,1828.0,1121.0,3584.0,479.0,202.0,-141.0,-255.0
1749632460.2420979,3.763,-3467.528229061154,-3476.4828687438808,-3457.153835627894,-327.0998741209357,-3484.221076201925,-3466.6559947021,-3470.8827844569428,-3469.5524522128644,2147,16340.0,14872.0,14400.0,-6692.0,9444.0,-17260.0,-4040.0,-816.0,-2116.0,-471.0,1179.0,1787.0,1088.0,3583.0,464.0,206.0,-141.0,-238.0
1749632460.282536,3.803,-3464.7831386814287,-3489.7507223189737,-3456.1986740617363,-323.6968612607552,-3482.3307355291527,-3464.2036473546796,-3475.0021684917415,-3472.4404171783226,2155,16372.0,14708.0,14436.0,-6676.0,9396.0,-17248.0,-4176.0,-872.0,-2116.0,-442.0,1169.0,1831.0,1087.0,3604.0,456.0,210.0,-144.0,-246.0
1749632460.3247628,3.845,-3464.2620960488434,-3469.5649412500793,-3454.0026017579553,-322.65977161047124,-3484.566273190531,-3467.0356614334178,-3471.8834061185607,-3476.6237450836593,2149,16288.0,14964.0,14568.0,-6640.0,9504.0,-17184.0,-4176.0,-772.0,-1944.0,-492.0,1179.0,1812.0,1113.0,3559.0,472.0,201.0,-153.0,-246.0
